IsWon,Opportunity Type,Lead Source,Amount,Industry
FALSE,New Business / Add-on,Web,17910,Banking
FALSE,New Business,Web,34170,Apparel
TRUE,New Business / Add-on,Web,32310,Apparel
FALSE,New Business,Web,25380,Technology
TRUE,New Business / Add-on,Partner Referral,42420,Banking
TRUE,New Business / Add-on,Partner Referral,59790,Banking
FALSE,New Business / Add-on,Partner Referral,53460,Energy
FALSE,New Business / Add-on,Web,17850,Apparel
TRUE,New Business / Add-on,Partner Referral,62880,Banking
FALSE,New Business,Web,33690,Technology
FALSE,New Business / Add-on,Web,29970,Apparel
FALSE,Existing Business,Phone Inquiry,11370,Energy
FALSE,New Business,Partner Referral,60210,Energy
TRUE,New Business / Add-on,Partner Referral,62220,Technology
FALSE,New Business / Add-on,Partner Referral,63300,Banking
FALSE,Existing Business,Partner Referral,67950,Energy
FALSE,New Business,Phone Inquiry,12390,Media
FALSE,Existing Business,Partner Referral,64020,Technology
TRUE,New Business / Add-on,Web,33120,Energy
FALSE,New Business / Add-on,Partner Referral,54030,Banking
TRUE,New Business / Add-on,Web,23790,Banking
FALSE,New Business,Phone Inquiry,11880,Technology
TRUE,New Business / Add-on,Phone Inquiry,12090,Banking
FALSE,Existing Business,Web,35940,Energy
FALSE,New Business / Add-on,Web,35760,Energy
FALSE,New Business / Add-on,Web,33180,Technology
TRUE,New Business / Add-on,Partner Referral,59610,Banking
TRUE,New Business / Add-on,Web,18120,Banking
FALSE,Existing Business,Web,54150,Energy
TRUE,New Business / Add-on,Web,38820,Media
FALSE,Existing Business,Partner Referral,57810,Energy
FALSE,New Business / Add-on,Partner Referral,57300,Energy
FALSE,New Business,Web,39690,Media
FALSE,New Business / Add-on,Phone Inquiry,12120,Technology
FALSE,New Business / Add-on,Web,27150,Technology
FALSE,Existing Business,Partner Referral,59940,Technology
TRUE,New Business / Add-on,Partner Referral,41820,Banking
FALSE,New Business / Add-on,Partner Referral,44880,Energy
TRUE,New Business / Add-on,Partner Referral,63810,Banking
TRUE,New Business / Add-on,Partner Referral,58710,Technology
FALSE,New Business,Web,29730,Healthcare
FALSE,Existing Business,Web,41520,Energy
FALSE,New Business,Phone Inquiry,12450,Healthcare
FALSE,Existing Business,Web,47910,Energy
FALSE,New Business / Add-on,Web,45720,Banking
FALSE,New Business / Add-on,Partner Referral,50700,Banking
FALSE,New Business / Add-on,Web,29550,Healthcare
TRUE,New Business / Add-on,Partner Referral,48390,Banking
FALSE,Existing Business,Web,47850,Energy
FALSE,Existing Business,Web,38490,Energy
FALSE,New Business / Add-on,Partner,54150,Banking
TRUE,New Business / Add-on,Partner,59460,Energy
FALSE,New Business / Add-on,Web,41700,Energy
TRUE,New Business / Add-on,Partner Referral,48390,Energy
FALSE,New Business,Web,44910,Energy
TRUE,New Business / Add-on,Partner,57270,Banking
FALSE,New Business,Partner,59790,Energy
FALSE,New Business,Partner Referral,65070,Banking
FALSE,Existing Business,Phone Inquiry,14970,Energy
FALSE,Existing Business,Partner Referral,64500,Energy
FALSE,New Business / Add-on,Partner Referral,60300,Banking
FALSE,New Business / Add-on,Partner Referral,53940,Technology
FALSE,Existing Business,Web,25260,Technology
FALSE,New Business,Web,32640,Energy
TRUE,New Business / Add-on,Partner Referral,56640,Banking
FALSE,New Business / Add-on,Web,45180,Banking
FALSE,New Business,Partner Referral,47340,Banking
FALSE,Existing Business,Web,47520,Healthcare
FALSE,Existing Business,Phone Inquiry,12090,Technology
FALSE,New Business / Add-on,Partner Referral,47910,Healthcare
FALSE,New Business / Add-on,Web,29430,Healthcare
FALSE,New Business,Phone Inquiry,12240,Banking
FALSE,Existing Business,Partner Referral,66960,Technology
FALSE,Existing Business,Phone Inquiry,14550,Technology
FALSE,New Business / Add-on,Web,38700,Technology
FALSE,New Business,Partner Referral,66300,Banking
FALSE,New Business,Web,33390,Energy
FALSE,New Business / Add-on,Web,32790,Healthcare
FALSE,New Business / Add-on,Web,44850,Banking
FALSE,New Business,Phone Inquiry,15540,Energy
TRUE,New Business / Add-on,Partner Referral,47610,Banking
FALSE,New Business / Add-on,Web,30330,Banking
TRUE,New Business / Add-on,Partner Referral,45090,Technology
FALSE,New Business / Add-on,Partner Referral,62280,Technology
FALSE,Existing Business,Phone Inquiry,12090,Technology
FALSE,New Business / Add-on,Partner Referral,59580,Energy
FALSE,New Business,Web,37290,Technology
FALSE,Existing Business,Phone Inquiry,12390,Technology
FALSE,Existing Business,Phone Inquiry,11970,Utilities
FALSE,New Business / Add-on,Web,20250,Utilities
FALSE,New Business / Add-on,Partner Referral,49230,Technology
FALSE,New Business / Add-on,Partner Referral,44820,Banking
FALSE,Existing Business,Web,50400,Healthcare
FALSE,New Business / Add-on,Partner Referral,66630,Energy
FALSE,Existing Business,Partner Referral,60540,Technology
TRUE,New Business / Add-on,Partner Referral,47370,Banking
FALSE,New Business,Web,40110,Energy
TRUE,New Business / Add-on,Phone Inquiry,12630,Utilities
FALSE,Existing Business,Phone Inquiry,12600,Technology
TRUE,New Business / Add-on,Partner Referral,59100,Banking
FALSE,New Business / Add-on,Phone Inquiry,12120,Utilities
FALSE,New Business / Add-on,Phone Inquiry,11670,Banking
FALSE,New Business,Partner Referral,57000,Technology
FALSE,New Business,Web,27330,Technology
TRUE,Existing Business,Partner Referral,66000,Technology
FALSE,New Business / Add-on,Web,14580,Healthcare
FALSE,New Business,Partner Referral,62490,Banking
FALSE,New Business,Web,18090,Healthcare
FALSE,New Business,Advertisement,56610,Healthcare
FALSE,Existing Business,Phone Inquiry,11640,Energy
TRUE,New Business / Add-on,Partner Referral,58050,Banking
FALSE,New Business,Web,34770,Energy
FALSE,New Business / Add-on,Advertisement,54990,Banking
TRUE,New Business / Add-on,Advertisement,45900,Banking
FALSE,Existing Business,Web,32760,Banking
FALSE,New Business / Add-on,Partner Referral,53910,Banking
FALSE,Existing Business,Web,18630,Technology
TRUE,New Business / Add-on,Advertisement,60150,Banking
FALSE,Existing Business,Phone Inquiry,12390,Healthcare
FALSE,New Business / Add-on,Advertisement,51120,Energy
FALSE,New Business,Advertisement,59880,Energy
FALSE,New Business / Add-on,Phone Inquiry,12420,Healthcare
TRUE,New Business / Add-on,Partner Referral,44640,Banking
FALSE,New Business / Add-on,Web,30420,Healthcare
FALSE,New Business / Add-on,Phone Inquiry,12510,Healthcare
FALSE,Existing Business,Partner Referral,53370,Banking
TRUE,New Business / Add-on,Partner Referral,46830,Banking
FALSE,Existing Business,Phone Inquiry,14130,Technology
FALSE,New Business / Add-on,Phone Inquiry,11850,Healthcare
FALSE,New Business,Web,33870,Banking
FALSE,New Business / Add-on,Partner Referral,51570,Banking
TRUE,New Business / Add-on,Web,35160,Energy
FALSE,Existing Business,Web,30330,Technology
TRUE,New Business / Add-on,Web,21270,Banking
TRUE,New Business / Add-on,Web,26610,Banking
FALSE,Existing Business,Phone Inquiry,15420,Energy
FALSE,New Business / Add-on,Partner Referral,45000,Technology
FALSE,Existing Business,Phone Inquiry,12120,Healthcare
FALSE,Existing Business,Phone Inquiry,11760,Healthcare
TRUE,New Business / Add-on,Partner Referral,42270,Healthcare
FALSE,Existing Business,Web,52830,Energy
TRUE,New Business / Add-on,Web,42690,Banking
FALSE,Existing Business,Partner Referral,60630,Technology
FALSE,New Business,Partner Referral,50580,Energy
FALSE,Existing Business,Phone Inquiry,14370,Technology
FALSE,Existing Business,Partner Referral,59430,Energy
FALSE,New Business,Phone Inquiry,11760,Healthcare
TRUE,New Business / Add-on,Web,27390,Banking
FALSE,New Business,Web,38700,Energy
FALSE,New Business / Add-on,Web,41700,Healthcare
FALSE,New Business / Add-on,Web,41130,Banking
TRUE,New Business / Add-on,Partner Referral,57000,Healthcare
FALSE,New Business,Partner Referral,64890,Energy
FALSE,Existing Business,Web,51660,Banking
FALSE,New Business / Add-on,Phone Inquiry,11820,Healthcare
FALSE,New Business / Add-on,Partner Referral,48540,Technology
FALSE,New Business / Add-on,Partner Referral,50490,Technology
FALSE,New Business,Phone Inquiry,12090,Healthcare
FALSE,Existing Business,Web,38550,Healthcare
FALSE,Existing Business,Phone Inquiry,15420,Technology
FALSE,New Business / Add-on,Web,33600,Banking
TRUE,New Business / Add-on,Partner Referral,49440,Banking
FALSE,New Business / Add-on,Partner Referral,41820,Banking
FALSE,Existing Business,Web,44340,Technology
FALSE,New Business,Phone Inquiry,12360,Healthcare
FALSE,Existing Business,Phone Inquiry,11940,Healthcare
TRUE,New Business / Add-on,Partner Referral,42540,Technology
FALSE,Existing Business,Web,53430,Technology
TRUE,New Business / Add-on,Web,27180,Banking
FALSE,New Business / Add-on,Phone Inquiry,12240,Banking
FALSE,New Business,Partner Referral,50550,Technology
TRUE,New Business / Add-on,Partner Referral,62640,Banking
FALSE,Existing Business,Web,49170,Healthcare
TRUE,New Business,Partner Referral,56910,Technology
FALSE,New Business,Phone Inquiry,12330,Technology
FALSE,New Business / Add-on,Phone Inquiry,14820,Banking
TRUE,New Business / Add-on,Partner Referral,44670,Healthcare
TRUE,New Business / Add-on,Partner Referral,45870,Technology
FALSE,New Business / Add-on,Partner Referral,63210,Technology
FALSE,New Business,Phone Inquiry,12330,Energy
TRUE,New Business / Add-on,Web,17970,Technology
FALSE,New Business / Add-on,Web,27180,Healthcare
TRUE,New Business / Add-on,Partner Referral,50700,Technology
FALSE,New Business,Web,44850,Energy
